Animal_Type,Age_years,Fever_Detected,Appetite_Loss,Physical_Weakness,Vaccination_Status,Core_Temperature_C,Surrounding_Humidity_%,Disease
Cow,10.4,No,Yes,No,Up to date,40.0,51,Minor Illness
Cow,6.9,Yes,No,No,Up to date,40.5,70,Lumpy Skin Disease
Buffalo,2.9,Yes,No,No,Up to date,40.4,89,Lumpy Skin Disease
Sheep,1.4,No,Yes,No,Not up to date,38.3,46,Minor Illness
Goat,10.4,Yes,No,Yes,Up to date,38.3,42,Minor Illness
Buffalo,7.4,No,No,Yes,Not up to date,40.0,61,Minor Illness
Buffalo,2.5,No,No,Yes,Not up to date,40.6,53,Minor Illness
Sheep,4.8,No,No,Yes,Not up to date,41.4,86,Minor Illness
Goat,3.3,Yes,No,No,Not up to date,37.6,84,Minor Illness
Sheep,5.2,Yes,No,No,Up to date,39.8,70,Minor Illness
Buffalo,11.0,No,No,Yes,Not up to date,39.8,64,Minor Illness
Buffalo,7.0,No,Yes,No,Up to date,38.3,42,Minor Illness
Goat,2.6,No,No,Yes,Up to date,37.9,43,Minor Illness
Buffalo,1.4,No,Yes,Yes,Up to date,37.9,66,Infection
Buffalo,7.9,Yes,Yes,Yes,Up to date,40.5,51,FMD
Cow,0.8,Yes,No,Yes,Not up to date,39.8,46,Minor Illness
Cow,3.0,No,No,No,Not up to date,39.3,79,Healthy
Sheep,10.9,Yes,No,No,Not up to date,39.7,40,Minor Illness
Sheep,1.8,Yes,Yes,No,Up to date,37.6,48,Minor Illness
Sheep,0.7,Yes,Yes,No,Not up to date,38.8,49,Minor Illness
Cow,10.7,Yes,Yes,No,Not up to date,37.8,81,Minor Illness
Cow,6.3,No,Yes,Yes,Up to date,38.6,66,Infection
Cow,8.9,No,Yes,Yes,Up to date,40.9,62,Infection
Goat,2.7,Yes,No,Yes,Up to date,37.6,44,Minor Illness
Cow,11.5,Yes,Yes,No,Not up to date,39.0,82,Minor Illness
Goat,2.4,No,No,Yes,Up to date,39.7,66,Minor Illness
Goat,7.4,No,Yes,No,Not up to date,41.3,61,Minor Illness
Goat,6.1,Yes,Yes,No,Not up to date,41.2,48,FMD
Buffalo,9.8,Yes,Yes,Yes,Not up to date,41.4,65,FMD
Goat,10.4,No,Yes,No,Not up to date,40.5,44,Minor Illness
Buffalo,11.4,Yes,No,Yes,Not up to date,41.1,89,Lumpy Skin Disease
Sheep,8.3,No,No,No,Not up to date,40.4,46,Healthy
Goat,2.9,No,No,Yes,Up to date,37.7,47,Minor Illness
Goat,4.4,No,No,No,Not up to date,38.5,75,Healthy
Sheep,2.1,No,Yes,Yes,Up to date,41.2,51,Infection
Buffalo,10.3,No,Yes,No,Not up to date,40.9,58,Minor Illness
Sheep,1.1,No,Yes,No,Not up to date,40.9,64,Minor Illness
Goat,8.4,No,No,Yes,Up to date,40.9,56,Minor Illness
Sheep,1.5,No,No,No,Not up to date,40.6,55,Healthy
Cow,4.7,No,No,Yes,Up to date,40.2,53,Minor Illness
Sheep,10.0,Yes,Yes,No,Up to date,37.9,46,Minor Illness
Cow,7.8,Yes,Yes,Yes,Up to date,40.3,84,FMD
Cow,10.1,No,Yes,Yes,Not up to date,40.7,76,Infection
Goat,7.4,Yes,No,No,Not up to date,40.0,66,Minor Illness
Buffalo,0.6,Yes,No,No,Up to date,38.1,42,Minor Illness
Buffalo,11.7,No,Yes,Yes,Not up to date,38.9,44,Infection
Cow,7.1,Yes,Yes,No,Not up to date,40.7,56,Lumpy Skin Disease
Buffalo,3.9,No,Yes,No,Up to date,38.3,50,Minor Illness
Cow,2.6,Yes,Yes,Yes,Up to date,41.2,54,FMD
Sheep,9.6,No,No,Yes,Not up to date,40.5,73,Minor Illness
Buffalo,7.9,Yes,No,Yes,Not up to date,37.6,72,Minor Illness
Goat,4.8,No,No,Yes,Up to date,37.9,82,Minor Illness
Sheep,2.0,No,Yes,No,Not up to date,41.2,51,Minor Illness
Buffalo,6.5,No,No,Yes,Not up to date,37.7,90,Minor Illness
Buffalo,7.1,No,Yes,No,Not up to date,38.7,70,Minor Illness
Buffalo,9.0,Yes,Yes,Yes,Not up to date,40.3,81,Lumpy Skin Disease
Goat,9.7,No,Yes,Yes,Not up to date,38.0,74,Infection
Cow,3.5,Yes,Yes,Yes,Up to date,41.4,71,FMD
Buffalo,7.2,Yes,No,Yes,Not up to date,37.6,77,Minor Illness
Sheep,10.9,No,No,Yes,Up to date,37.7,55,Minor Illness
Buffalo,8.6,Yes,No,No,Not up to date,38.7,44,Minor Illness
Goat,11.2,Yes,Yes,Yes,Up to date,38.5,54,Infection
Goat,5.6,No,No,Yes,Not up to date,41.0,45,Minor Illness
Buffalo,11.9,No,No,No,Up to date,37.6,56,Healthy
Goat,3.4,No,No,No,Not up to date,38.1,53,Healthy
Cow,2.5,No,No,No,Not up to date,38.7,89,Healthy
Goat,1.6,No,No,Yes,Up to date,38.7,65,Minor Illness
Goat,11.3,Yes,No,Yes,Up to date,39.5,61,Minor Illness
Goat,0.6,Yes,Yes,No,Not up to date,40.2,49,FMD
Sheep,3.2,No,No,No,Up to date,38.3,49,Healthy
Cow,1.7,No,No,No,Up to date,39.3,65,Healthy
Buffalo,8.2,Yes,Yes,Yes,Up to date,37.6,85,Infection
Cow,11.8,Yes,No,No,Not up to date,40.5,59,FMD
Cow,2.8,No,Yes,Yes,Not up to date,38.5,83,Infection
Sheep,3.9,Yes,No,No,Up to date,38.5,54,Minor Illness
Goat,1.4,Yes,Yes,No,Up to date,41.4,83,Lumpy Skin Disease
Buffalo,9.7,No,Yes,No,Up to date,40.3,47,Minor Illness
Buffalo,10.5,Yes,Yes,Yes,Not up to date,41.1,89,FMD
Sheep,10.5,No,Yes,Yes,Not up to date,40.8,83,Infection
Buffalo,6.5,Yes,No,Yes,Not up to date,39.2,67,Minor Illness
Sheep,9.9,Yes,No,Yes,Not up to date,40.2,80,Lumpy Skin Disease
Goat,10.2,No,Yes,No,Not up to date,41.5,60,Minor Illness
Cow,10.7,No,No,Yes,Not up to date,40.4,52,Minor Illness
Buffalo,0.8,No,No,Yes,Not up to date,37.6,48,Minor Illness
Buffalo,2.4,Yes,Yes,No,Not up to date,39.7,66,Minor Illness
Buffalo,8.7,No,No,No,Not up to date,37.8,69,Healthy
Buffalo,9.9,No,No,No,Not up to date,38.4,62,Healthy
Cow,3.5,Yes,No,Yes,Up to date,40.7,81,Lumpy Skin Disease
Cow,6.0,Yes,Yes,No,Not up to date,39.5,56,Minor Illness
Cow,3.5,No,No,No,Not up to date,40.8,75,Healthy
Cow,8.6,No,Yes,No,Up to date,39.4,83,Minor Illness
Goat,7.8,No,No,Yes,Up to date,41.2,59,Minor Illness
Buffalo,3.3,No,Yes,No,Not up to date,41.4,80,Minor Illness
Goat,1.2,No,No,Yes,Up to date,38.6,52,Minor Illness
Sheep,10.7,Yes,No,No,Not up to date,40.3,50,Lumpy Skin Disease
Buffalo,2.0,Yes,Yes,No,Up to date,38.6,64,Minor Illness
Goat,11.6,Yes,No,No,Up to date,39.9,57,Minor Illness
Cow,2.4,Yes,No,Yes,Up to date,38.4,81,Minor Illness
Cow,1.2,Yes,Yes,Yes,Up to date,40.7,65,Lumpy Skin Disease
Buffalo,9.2,No,Yes,No,Not up to date,40.1,76,Minor Illness
Cow,8.4,No,No,Yes,Up to date,38.4,68,Minor Illness
Goat,8.5,Yes,No,No,Not up to date,39.2,82,Minor Illness
Buffalo,3.6,No,No,No,Up to date,39.1,42,Healthy
Cow,1.9,Yes,Yes,No,Not up to date,40.2,85,Lumpy Skin Disease
Goat,11.9,No,Yes,Yes,Up to date,40.8,52,Infection
Sheep,10.2,No,Yes,No,Not up to date,38.4,84,Minor Illness
Goat,8.1,Yes,No,No,Not up to date,41.0,79,Lumpy Skin Disease
Goat,1.6,Yes,Yes,Yes,Not up to date,37.8,47,Infection
Cow,1.1,No,No,Yes,Not up to date,41.2,77,Minor Illness
Buffalo,1.8,Yes,Yes,No,Not up to date,40.4,51,FMD
Buffalo,9.9,Yes,No,No,Up to date,39.9,50,Minor Illness
Goat,4.1,No,No,No,Not up to date,38.1,59,Healthy
Cow,2.5,No,No,No,Up to date,38.7,90,Healthy
Goat,8.7,No,No,Yes,Not up to date,40.8,76,Minor Illness
Sheep,3.3,Yes,No,Yes,Not up to date,38.1,78,Minor Illness
Cow,6.9,No,Yes,No,Up to date,41.0,65,Minor Illness
Sheep,9.4,No,Yes,Yes,Not up to date,40.8,85,Infection
Cow,7.8,Yes,Yes,No,Up to date,40.1,90,FMD
Cow,9.9,No,Yes,No,Up to date,41.3,44,Minor Illness
Cow,7.8,Yes,Yes,Yes,Up to date,40.3,57,FMD
Goat,10.3,Yes,Yes,Yes,Up to date,40.8,63,FMD
Goat,7.7,No,No,No,Up to date,37.6,48,Healthy
Sheep,4.9,Yes,No,Yes,Not up to date,39.9,72,Minor Illness
Sheep,1.5,Yes,No,Yes,Not up to date,37.5,86,Minor Illness
Goat,1.2,No,Yes,No,Up to date,37.6,43,Minor Illness
Cow,5.0,No,No,Yes,Not up to date,39.4,88,Minor Illness
Goat,11.3,No,No,Yes,Not up to date,37.9,50,Minor Illness
Buffalo,8.7,No,Yes,Yes,Not up to date,40.5,40,Infection
Cow,5.0,No,No,Yes,Not up to date,41.0,43,Minor Illness
Goat,8.0,No,Yes,No,Not up to date,40.0,60,Minor Illness
Sheep,3.9,No,No,Yes,Not up to date,41.4,59,Minor Illness
Sheep,2.1,Yes,No,No,Not up to date,38.5,70,Minor Illness
Buffalo,6.4,Yes,No,Yes,Not up to date,38.0,71,Minor Illness
Sheep,5.4,Yes,No,Yes,Not up to date,38.3,45,Minor Illness
Cow,8.7,Yes,No,Yes,Not up to date,39.0,58,Minor Illness
Cow,5.3,Yes,Yes,No,Up to date,38.7,48,Minor Illness
Buffalo,5.4,Yes,Yes,No,Not up to date,37.5,50,Minor Illness
Goat,10.5,No,Yes,Yes,Up to date,38.4,64,Infection
Cow,3.6,No,No,Yes,Up to date,40.7,64,Minor Illness
Buffalo,7.7,No,Yes,Yes,Up to date,40.2,58,Infection
Buffalo,5.9,Yes,No,Yes,Up to date,41.1,69,FMD
Buffalo,6.0,No,No,No,Not up to date,40.1,87,Healthy
Buffalo,10.8,Yes,No,Yes,Up to date,40.9,85,Lumpy Skin Disease
Buffalo,4.2,Yes,No,Yes,Not up to date,40.2,90,FMD
Sheep,2.2,No,No,No,Up to date,41.4,40,Healthy
Sheep,11.5,No,Yes,No,Up to date,38.5,41,Minor Illness
Goat,10.8,No,Yes,Yes,Not up to date,41.0,57,Infection
Buffalo,6.2,No,No,Yes,Not up to date,38.7,76,Minor Illness
Buffalo,6.4,No,No,No,Up to date,41.1,64,Healthy
Sheep,11.4,Yes,Yes,Yes,Up to date,41.1,75,FMD
Goat,8.9,Yes,Yes,Yes,Not up to date,41.5,70,Lumpy Skin Disease
Sheep,10.5,Yes,Yes,Yes,Not up to date,40.9,53,Lumpy Skin Disease
Buffalo,8.6,Yes,Yes,Yes,Up to date,40.4,46,Lumpy Skin Disease
Sheep,1.8,No,Yes,No,Up to date,40.3,85,Minor Illness
Goat,3.5,Yes,Yes,Yes,Not up to date,37.9,89,Infection
Buffalo,9.0,No,No,No,Up to date,39.0,73,Healthy
Cow,1.4,No,No,Yes,Not up to date,38.4,67,Minor Illness
Cow,10.7,Yes,Yes,No,Up to date,40.8,59,FMD
Cow,1.5,No,No,Yes,Up to date,39.5,46,Minor Illness
Cow,1.7,Yes,Yes,No,Up to date,37.8,82,Minor Illness
Sheep,4.8,Yes,No,No,Up to date,40.7,51,FMD
Cow,11.8,Yes,Yes,No,Not up to date,37.9,49,Minor Illness
Cow,4.2,Yes,No,No,Not up to date,41.4,47,Lumpy Skin Disease
Goat,9.4,Yes,No,No,Not up to date,37.6,71,Minor Illness
Sheep,8.8,Yes,No,Yes,Up to date,37.8,60,Minor Illness
Goat,2.5,No,Yes,Yes,Up to date,39.4,52,Infection
Sheep,7.3,No,No,No,Up to date,38.5,68,Healthy
Cow,0.7,Yes,No,No,Not up to date,39.3,87,Minor Illness
Goat,8.2,Yes,Yes,Yes,Not up to date,41.4,70,Lumpy Skin Disease
Buffalo,5.0,Yes,Yes,Yes,Up to date,38.3,52,Infection
Buffalo,3.2,No,No,No,Up to date,37.8,87,Healthy
Goat,8.5,No,No,Yes,Up to date,38.5,72,Minor Illness
Buffalo,7.0,No,No,Yes,Not up to date,39.1,66,Minor Illness
Sheep,10.3,No,No,Yes,Not up to date,41.1,90,Minor Illness
Goat,2.2,No,No,No,Up to date,37.8,85,Healthy
Buffalo,7.2,No,Yes,Yes,Up to date,39.4,48,Infection
Sheep,4.0,No,No,No,Up to date,40.4,82,Healthy
Cow,4.4,Yes,Yes,Yes,Not up to date,39.9,84,Infection
Buffalo,8.0,No,No,No,Up to date,39.3,87,Healthy
Buffalo,7.4,No,No,No,Not up to date,37.7,69,Healthy
Goat,6.6,No,Yes,No,Up to date,40.8,60,Minor Illness
Cow,1.5,Yes,Yes,Yes,Up to date,39.0,75,Infection
Sheep,0.9,No,No,Yes,Not up to date,37.8,64,Minor Illness
Cow,1.3,Yes,No,No,Not up to date,38.1,68,Minor Illness
Goat,3.8,No,No,Yes,Not up to date,40.4,68,Minor Illness
Buffalo,0.9,Yes,No,Yes,Not up to date,39.3,49,Minor Illness
Sheep,1.1,No,No,No,Up to date,40.8,88,Healthy
Goat,3.4,Yes,No,Yes,Up to date,41.4,42,Lumpy Skin Disease
Buffalo,3.0,Yes,Yes,Yes,Not up to date,38.0,41,Infection
Cow,4.5,Yes,No,No,Not up to date,41.5,50,Lumpy Skin Disease
Cow,9.2,Yes,Yes,Yes,Up to date,39.8,70,Infection
Cow,2.5,Yes,No,No,Not up to date,41.2,62,Lumpy Skin Disease
Goat,6.8,No,No,Yes,Not up to date,40.6,72,Minor Illness
Goat,9.7,Yes,Yes,Yes,Not up to date,37.8,82,Infection
Cow,0.8,Yes,Yes,No,Not up to date,39.0,90,Minor Illness
Sheep,3.6,No,Yes,No,Up to date,41.4,68,Minor Illness
Goat,9.5,Yes,No,No,Not up to date,38.0,78,Minor Illness
Sheep,1.2,No,Yes,No,Up to date,39.7,48,Minor Illness
Sheep,3.4,Yes,Yes,Yes,Not up to date,37.9,85,Infection
Goat,2.7,No,Yes,Yes,Up to date,38.1,86,Infection
Sheep,10.7,Yes,No,Yes,Not up to date,38.5,47,Minor Illness
Sheep,4.0,Yes,No,No,Up to date,38.8,52,Minor Illness
Buffalo,2.7,No,Yes,Yes,Not up to date,41.2,51,Infection
Goat,11.0,No,Yes,No,Up to date,40.4,57,Minor Illness
Cow,9.8,No,Yes,No,Not up to date,39.5,77,Minor Illness
Goat,2.2,No,Yes,No,Up to date,41.3,72,Minor Illness
Buffalo,4.2,No,Yes,No,Not up to date,38.2,82,Minor Illness
Cow,4.4,Yes,Yes,Yes,Not up to date,39.4,88,Infection
Cow,4.0,No,No,Yes,Up to date,40.4,52,Minor Illness
Buffalo,2.5,No,No,Yes,Not up to date,39.4,41,Minor Illness
Goat,2.8,Yes,Yes,Yes,Not up to date,38.9,72,Infection
Cow,1.5,No,Yes,Yes,Not up to date,38.7,50,Infection
Cow,9.9,Yes,No,Yes,Up to date,40.7,89,FMD
Buffalo,5.6,Yes,No,Yes,Not up to date,37.6,72,Minor Illness
Sheep,11.4,No,Yes,No,Up to date,38.4,80,Minor Illness
Cow,9.3,Yes,Yes,Yes,Not up to date,37.9,45,Infection
Goat,0.8,No,Yes,No,Not up to date,38.7,69,Minor Illness
Sheep,7.6,No,Yes,No,Not up to date,39.9,78,Minor Illness
Sheep,10.0,No,No,No,Up to date,39.5,40,Healthy
Cow,2.5,No,No,No,Not up to date,37.6,40,Healthy
Buffalo,6.4,Yes,No,No,Up to date,40.2,46,FMD
Goat,7.5,No,No,Yes,Up to date,37.7,45,Minor Illness
Sheep,7.9,Yes,No,No,Up to date,38.6,81,Minor Illness
Buffalo,4.5,Yes,No,No,Not up to date,39.5,62,Minor Illness
Goat,3.5,No,Yes,No,Not up to date,37.8,89,Minor Illness
Cow,4.2,Yes,No,No,Not up to date,38.6,44,Minor Illness
Buffalo,3.7,No,No,No,Up to date,39.0,64,Healthy
Buffalo,3.7,Yes,Yes,No,Up to date,40.0,68,Minor Illness
Sheep,3.2,No,No,No,Up to date,41.2,51,Healthy
Sheep,3.3,No,Yes,Yes,Not up to date,38.1,54,Infection
Sheep,10.6,Yes,No,Yes,Up to date,39.3,54,Minor Illness
Goat,9.6,Yes,No,No,Not up to date,40.3,89,FMD
Sheep,6.9,No,Yes,Yes,Not up to date,39.7,62,Infection
Goat,5.9,Yes,No,No,Not up to date,39.6,44,Minor Illness
Buffalo,0.7,Yes,Yes,Yes,Not up to date,41.0,51,Lumpy Skin Disease
Goat,10.0,Yes,No,Yes,Not up to date,37.9,82,Minor Illness
Cow,7.1,No,Yes,No,Up to date,38.1,71,Minor Illness
Sheep,7.5,Yes,Yes,No,Not up to date,37.6,51,Minor Illness
Buffalo,2.4,Yes,No,No,Up to date,39.4,90,Minor Illness
Cow,6.0,Yes,No,No,Not up to date,38.1,40,Minor Illness
Buffalo,8.1,Yes,Yes,Yes,Up to date,40.5,90,Lumpy Skin Disease
Cow,2.8,Yes,No,No,Not up to date,40.9,76,Lumpy Skin Disease
Goat,11.3,No,No,Yes,Not up to date,37.7,46,Minor Illness
Goat,1.5,No,No,Yes,Not up to date,37.9,60,Minor Illness
Buffalo,1.5,Yes,Yes,No,Up to date,38.0,56,Minor Illness
Buffalo,5.5,Yes,Yes,Yes,Not up to date,40.6,90,FMD
Sheep,10.1,No,No,No,Up to date,40.4,84,Healthy
Goat,9.8,Yes,No,Yes,Up to date,39.8,40,Minor Illness
Sheep,1.5,No,Yes,Yes,Up to date,38.7,43,Infection
Goat,8.7,Yes,Yes,Yes,Up to date,39.0,57,Infection
Goat,3.4,Yes,Yes,No,Not up to date,37.8,50,Minor Illness
Buffalo,2.5,Yes,Yes,Yes,Not up to date,37.8,61,Infection
Buffalo,1.6,Yes,No,No,Up to date,39.6,75,Minor Illness
Buffalo,8.4,Yes,No,No,Up to date,39.7,68,Minor Illness
Sheep,10.7,No,Yes,Yes,Up to date,38.9,71,Infection
Goat,9.4,No,Yes,Yes,Not up to date,38.4,56,Infection
Cow,2.7,Yes,Yes,Yes,Not up to date,40.5,60,FMD
Cow,9.6,No,Yes,No,Not up to date,39.4,86,Minor Illness
Sheep,11.1,No,Yes,Yes,Up to date,40.4,63,Infection
Cow,3.7,No,Yes,Yes,Not up to date,39.5,52,Infection
Sheep,3.1,No,No,Yes,Up to date,39.8,76,Minor Illness
Goat,3.9,No,No,Yes,Up to date,40.3,53,Minor Illness
Sheep,6.3,No,No,No,Not up to date,37.9,81,Healthy
Sheep,3.4,Yes,No,Yes,Not up to date,40.7,85,FMD
Cow,11.7,Yes,Yes,No,Not up to date,37.8,90,Minor Illness
Sheep,11.1,No,No,Yes,Not up to date,40.7,50,Minor Illness
Sheep,1.1,Yes,Yes,No,Up to date,40.2,49,FMD
Sheep,11.4,No,Yes,Yes,Up to date,37.7,64,Infection
Sheep,11.1,Yes,Yes,No,Not up to date,41.0,45,Lumpy Skin Disease
Goat,8.0,No,Yes,Yes,Not up to date,38.5,65,Infection
Goat,3.5,Yes,Yes,Yes,Not up to date,39.5,60,Infection
Cow,8.2,Yes,Yes,No,Up to date,40.8,72,FMD
Goat,8.4,No,No,No,Up to date,39.9,52,Healthy
Goat,7.8,Yes,Yes,Yes,Not up to date,38.6,71,Infection
Buffalo,7.8,Yes,No,No,Not up to date,38.9,68,Minor Illness
Cow,5.0,No,No,Yes,Up to date,41.4,70,Minor Illness
Cow,3.2,No,Yes,Yes,Not up to date,40.5,40,Infection
Goat,5.2,Yes,Yes,No,Up to date,38.2,86,Minor Illness
Cow,1.9,No,Yes,No,Not up to date,39.8,42,Minor Illness
Goat,9.3,Yes,No,Yes,Up to date,39.5,78,Minor Illness
Buffalo,0.5,Yes,Yes,Yes,Not up to date,39.9,76,Infection
Goat,4.1,Yes,No,Yes,Up to date,41.4,50,Lumpy Skin Disease
Goat,5.9,No,No,Yes,Not up to date,39.5,45,Minor Illness
Sheep,10.0,No,Yes,No,Not up to date,39.2,83,Minor Illness
Goat,9.7,Yes,Yes,No,Not up to date,39.8,58,Minor Illness
Sheep,7.6,No,Yes,No,Not up to date,38.5,45,Minor Illness
Sheep,7.7,Yes,No,Yes,Up to date,40.4,59,Lumpy Skin Disease
Buffalo,3.7,Yes,No,Yes,Up to date,38.6,72,Minor Illness
Goat,10.4,No,No,Yes,Not up to date,40.5,88,Minor Illness
Sheep,3.9,Yes,No,No,Up to date,41.1,67,FMD
Buffalo,11.0,No,Yes,Yes,Not up to date,39.3,48,Infection
Cow,9.0,No,Yes,Yes,Up to date,39.3,58,Infection
Goat,1.4,No,No,No,Up to date,39.3,85,Healthy
Cow,7.3,No,Yes,No,Not up to date,37.7,90,Minor Illness
Sheep,11.3,No,Yes,Yes,Not up to date,38.9,54,Infection
Sheep,1.0,Yes,Yes,Yes,Up to date,39.9,48,Infection
Cow,7.5,Yes,Yes,No,Not up to date,38.7,69,Minor Illness
Sheep,1.3,Yes,No,Yes,Not up to date,38.0,70,Minor Illness
Goat,6.6,Yes,Yes,No,Up to date,40.2,53,FMD
Cow,0.7,Yes,Yes,Yes,Not up to date,40.7,86,Lumpy Skin Disease
Cow,0.6,Yes,Yes,Yes,Up to date,37.5,70,Infection
Buffalo,7.2,Yes,No,Yes,Up to date,38.5,60,Minor Illness
Cow,1.6,No,Yes,Yes,Up to date,40.0,56,Infection
Goat,5.7,No,No,No,Up to date,38.0,70,Healthy
Buffalo,5.4,No,No,Yes,Up to date,37.9,53,Minor Illness
Sheep,8.7,No,Yes,Yes,Not up to date,39.5,64,Infection
Buffalo,4.7,Yes,No,No,Not up to date,38.9,44,Minor Illness
Buffalo,3.1,Yes,Yes,No,Not up to date,38.8,88,Minor Illness
Buffalo,4.7,Yes,No,No,Not up to date,39.0,82,Minor Illness
Cow,10.9,Yes,No,No,Not up to date,38.3,53,Minor Illness
Cow,3.6,No,No,Yes,Up to date,37.6,45,Minor Illness
Buffalo,5.0,No,No,Yes,Up to date,41.3,82,Minor Illness
Goat,3.5,No,Yes,Yes,Not up to date,37.8,70,Infection
Cow,7.1,Yes,Yes,Yes,Not up to date,38.2,60,Infection
Cow,8.1,Yes,Yes,Yes,Up to date,41.4,75,Lumpy Skin Disease
Cow,11.6,No,Yes,No,Not up to date,41.4,75,Minor Illness
Buffalo,1.9,No,Yes,Yes,Up to date,37.6,41,Infection
Buffalo,11.9,Yes,No,Yes,Not up to date,39.1,90,Minor Illness
Goat,6.0,Yes,Yes,Yes,Up to date,40.4,86,FMD
Goat,8.1,No,Yes,No,Up to date,38.5,51,Minor Illness
Cow,9.3,No,Yes,Yes,Not up to date,39.9,68,Infection
Sheep,1.5,No,Yes,No,Up to date,40.9,90,Minor Illness
Goat,7.5,Yes,No,Yes,Not up to date,39.5,68,Minor Illness
Sheep,4.3,No,No,Yes,Not up to date,41.2,63,Minor Illness
Sheep,7.8,Yes,No,No,Up to date,39.0,58,Minor Illness
Cow,10.7,No,Yes,Yes,Not up to date,39.4,88,Infection
Cow,9.5,Yes,No,Yes,Not up to date,41.3,42,Lumpy Skin Disease
Cow,7.3,Yes,No,No,Not up to date,39.3,50,Minor Illness
Buffalo,2.7,Yes,No,No,Not up to date,38.9,59,Minor Illness
Cow,7.4,No,No,No,Up to date,39.8,56,Healthy
Buffalo,7.5,No,Yes,No,Up to date,38.2,59,Minor Illness
Goat,3.9,No,No,Yes,Not up to date,38.3,76,Minor Illness
Goat,3.4,No,Yes,Yes,Not up to date,38.2,45,Infection
Goat,6.1,No,Yes,No,Not up to date,40.7,45,Minor Illness
Cow,2.7,Yes,Yes,Yes,Up to date,40.8,60,Lumpy Skin Disease
Buffalo,7.6,Yes,Yes,Yes,Not up to date,40.4,53,Lumpy Skin Disease
Sheep,1.9,Yes,No,Yes,Not up to date,40.4,90,Lumpy Skin Disease
Buffalo,6.8,No,No,Yes,Up to date,39.5,56,Minor Illness
Cow,1.1,Yes,No,No,Up to date,39.8,85,Minor Illness
Goat,4.1,Yes,Yes,Yes,Not up to date,40.2,87,Lumpy Skin Disease
Cow,10.9,No,No,Yes,Up to date,40.5,53,Minor Illness
Cow,6.2,Yes,No,Yes,Not up to date,40.2,45,Lumpy Skin Disease
Buffalo,5.2,No,No,No,Up to date,41.4,70,Healthy
Sheep,10.4,No,Yes,Yes,Up to date,40.9,76,Infection
Cow,7.3,No,No,Yes,Not up to date,37.8,70,Minor Illness
Sheep,6.0,Yes,No,No,Not up to date,37.6,83,Minor Illness
Sheep,9.5,Yes,No,Yes,Not up to date,40.8,46,Lumpy Skin Disease
Sheep,9.6,No,Yes,No,Not up to date,41.3,72,Minor Illness
Cow,2.7,Yes,No,No,Up to date,38.6,55,Minor Illness
Sheep,2.7,Yes,Yes,Yes,Up to date,40.4,79,FMD
Buffalo,10.8,Yes,No,Yes,Up to date,40.4,72,FMD
Goat,7.7,No,Yes,Yes,Up to date,38.8,54,Infection
Goat,9.2,Yes,No,Yes,Up to date,41.0,60,Lumpy Skin Disease
Buffalo,5.5,Yes,Yes,Yes,Up to date,39.6,80,Infection
Goat,8.6,No,Yes,Yes,Not up to date,39.5,75,Infection
Sheep,2.4,Yes,No,Yes,Up to date,41.2,78,FMD
Cow,3.3,No,No,Yes,Not up to date,41.3,75,Minor Illness
Goat,4.9,No,Yes,Yes,Up to date,37.5,76,Infection
Cow,5.2,No,No,No,Up to date,39.9,62,Healthy
Goat,4.0,No,No,Yes,Up to date,39.9,63,Minor Illness
Cow,2.4,Yes,No,Yes,Up to date,40.4,59,Lumpy Skin Disease
Goat,6.6,No,Yes,Yes,Not up to date,38.7,55,Infection
Sheep,11.4,No,No,Yes,Not up to date,40.9,67,Minor Illness
Buffalo,4.2,No,Yes,No,Not up to date,41.1,55,Minor Illness
Goat,0.9,No,No,Yes,Not up to date,38.1,74,Minor Illness
Goat,3.4,Yes,No,No,Up to date,39.2,79,Minor Illness
Sheep,9.5,Yes,No,Yes,Up to date,39.3,40,Minor Illness
Buffalo,0.7,Yes,No,No,Up to date,38.8,67,Minor Illness
Goat,6.1,No,Yes,Yes,Up to date,38.1,72,Infection
Buffalo,6.1,Yes,Yes,Yes,Up to date,40.6,89,FMD
Cow,11.5,Yes,Yes,Yes,Not up to date,37.5,48,Infection
Goat,6.4,No,No,No,Up to date,39.5,61,Healthy
Cow,10.7,No,No,Yes,Not up to date,39.3,66,Minor Illness
Sheep,6.9,No,Yes,Yes,Up to date,38.3,83,Infection
Buffalo,8.5,Yes,No,No,Not up to date,37.6,56,Minor Illness
Sheep,1.6,Yes,Yes,Yes,Not up to date,38.4,41,Infection
Sheep,5.0,No,No,Yes,Not up to date,39.4,78,Minor Illness
Sheep,11.5,Yes,Yes,No,Not up to date,41.4,84,FMD
Buffalo,7.0,Yes,No,Yes,Not up to date,39.2,78,Minor Illness
Sheep,7.4,Yes,No,No,Not up to date,37.6,89,Minor Illness
Sheep,2.1,Yes,No,Yes,Up to date,38.0,47,Minor Illness
Buffalo,11.1,No,No,Yes,Not up to date,41.3,81,Minor Illness
Cow,11.8,Yes,No,No,Up to date,38.8,46,Minor Illness
Cow,11.3,Yes,Yes,No,Up to date,40.4,55,FMD
Sheep,3.1,No,No,Yes,Up to date,38.2,47,Minor Illness
Goat,6.3,Yes,No,Yes,Not up to date,40.0,63,Minor Illness
Goat,10.2,No,Yes,No,Up to date,41.3,90,Minor Illness
Buffalo,11.0,No,No,Yes,Up to date,40.8,44,Minor Illness
Goat,11.6,Yes,Yes,Yes,Up to date,39.2,78,Infection
