Animal,Age,Fever,AppetiteLoss,Weakness,Vaccination,Temp,Humidity,Disease
Goat,7,No,No,No,Not Vaccinated,37.9,41.3,Healthy
Sheep,15,No,No,No,Up to date,38.4,62.8,Healthy
Goat,12,No,No,No,Up to date,38.4,88.8,Healthy
Cow,15,Yes,Yes,No,Not Vaccinated,39.5,85.7,Respiratory Infection
Goat,1,No,No,No,Not Vaccinated,38.4,40.3,Healthy
Goat,7,Yes,No,No,Up to date,39.2,83.0,Respiratory Infection
Cow,14,No,No,No,Not Vaccinated,38.2,58.1,Healthy
Buffalo,12,No,No,No,Up to date,38.1,38.4,Healthy
Buffalo,1,No,No,No,Not Vaccinated,38.5,40.9,Healthy
Cow,5,No,No,No,Not Vaccinated,38.4,63.0,Healthy
Buffalo,12,No,No,No,Not Vaccinated,38.0,37.0,Healthy
Cow,10,No,No,No,Up to date,37.7,58.1,Healthy
Buffalo,2,No,No,No,Up to date,37.9,58.1,Healthy
Cow,14,No,No,Yes,Not Vaccinated,41.1,83.0,Heat Stress
Buffalo,5,No,Yes,No,Not Vaccinated,39.3,55.4,Mastitis
Buffalo,4,No,No,No,Up to date,38.1,88.3,Healthy
Cow,10,No,No,No,Not Vaccinated,38.1,38.5,Healthy
Sheep,14,No,No,No,Up to date,38.4,60.8,Healthy
Cow,6,No,No,No,Up to date,37.5,60.1,Healthy
Sheep,14,Yes,Yes,Yes,Not Vaccinated,40.6,87.4,Heat Stress
Buffalo,15,No,No,No,Not Vaccinated,38.4,84.6,Healthy
Goat,12,No,No,No,Up to date,38.1,60.6,Healthy
Buffalo,6,Yes,Yes,Yes,Not Vaccinated,39.7,55.3,Mastitis
Cow,11,No,No,No,Not Vaccinated,37.6,60.6,Healthy
Sheep,8,No,No,No,Up to date,38.5,81.3,Healthy
Sheep,6,No,No,No,Up to date,37.9,81.2,Healthy
Sheep,14,No,No,No,Up to date,38.1,55.5,Healthy
Sheep,8,No,No,No,Up to date,38.1,60.5,Healthy
Buffalo,12,No,No,No,Up to date,38.4,64.0,Healthy
Buffalo,14,No,No,No,Up to date,37.9,35.5,Healthy
Buffalo,2,No,No,No,Not Vaccinated,38.0,44.1,Healthy
Sheep,5,No,No,No,Not Vaccinated,38.4,36.9,Healthy
Buffalo,14,Yes,No,Yes,Up to date,39.7,82.6,Respiratory Infection
Cow,9,Yes,Yes,No,Not Vaccinated,41.4,84.0,Heat Stress
Cow,9,No,No,No,Not Vaccinated,37.6,40.0,Healthy
Goat,13,No,No,No,Up to date,37.6,58.1,Healthy
Buffalo,2,No,No,No,Not Vaccinated,38.2,55.6,Healthy
Buffalo,11,No,No,No,Up to date,37.7,60.8,Healthy
Sheep,8,No,No,No,Up to date,38.2,40.4,Healthy
Cow,1,Yes,Yes,Yes,Up to date,38.1,83.6,Respiratory Infection
Goat,13,Yes,Yes,Yes,Not Vaccinated,37.6,82.2,Respiratory Infection
Goat,3,No,Yes,No,Not Vaccinated,39.7,42.1,Mastitis
Sheep,6,No,No,No,Not Vaccinated,37.9,44.6,Healthy
Sheep,8,Yes,Yes,Yes,Not Vaccinated,41.1,59.8,Foot and Mouth
Goat,5,Yes,Yes,No,Not Vaccinated,38.3,80.8,Respiratory Infection
Cow,14,No,No,No,Not Vaccinated,37.8,85.5,Healthy
Cow,10,No,No,No,Not Vaccinated,37.8,63.6,Healthy
Sheep,4,No,Yes,No,Not Vaccinated,39.8,84.8,Mastitis
Sheep,3,No,No,No,Up to date,37.8,40.4,Healthy
Goat,4,No,Yes,Yes,Not Vaccinated,39.2,61.0,Mastitis
Buffalo,12,No,Yes,No,Not Vaccinated,39.2,82.9,Mastitis
Buffalo,6,Yes,No,Yes,Up to date,38.3,83.6,Respiratory Infection
Cow,8,No,No,No,Not Vaccinated,38.4,43.4,Healthy
Sheep,14,No,No,No,Not Vaccinated,38.3,36.1,Healthy
Sheep,14,No,No,No,Up to date,37.5,56.0,Healthy
Cow,8,No,No,No,Up to date,38.4,41.4,Healthy
Buffalo,7,No,No,No,Not Vaccinated,37.5,87.6,Healthy
Sheep,2,No,No,No,Up to date,38.1,62.8,Healthy
Sheep,2,No,No,No,Not Vaccinated,38.4,44.6,Healthy
Sheep,6,No,No,No,Up to date,38.1,60.0,Healthy
Sheep,5,No,No,No,Not Vaccinated,38.3,56.7,Healthy
Buffalo,11,No,Yes,Yes,Not Vaccinated,41.4,81.8,Heat Stress
Cow,5,No,No,No,Up to date,37.9,41.0,Healthy
Goat,11,No,No,No,Up to date,38.1,40.7,Healthy
Sheep,9,No,No,No,Up to date,37.7,88.8,Healthy
Sheep,1,No,Yes,Yes,Up to date,39.0,85.5,Mastitis
Buffalo,5,No,Yes,No,Not Vaccinated,39.9,63.5,Mastitis
Buffalo,14,No,No,No,Up to date,38.4,80.4,Healthy
Buffalo,7,Yes,Yes,No,Not Vaccinated,39.1,87.2,Respiratory Infection
Cow,11,No,No,No,Not Vaccinated,38.2,61.3,Healthy
Cow,15,No,No,No,Not Vaccinated,38.0,64.5,Healthy
Buffalo,2,No,No,No,Not Vaccinated,38.3,63.0,Healthy
Goat,4,No,No,No,Up to date,38.0,61.5,Healthy
Buffalo,7,No,Yes,Yes,Not Vaccinated,39.6,60.1,Mastitis
Cow,10,No,No,No,Up to date,38.4,37.7,Healthy
Sheep,15,No,No,No,Up to date,38.4,35.3,Healthy
Sheep,3,No,No,No,Not Vaccinated,38.0,86.6,Healthy
Buffalo,7,Yes,Yes,Yes,Up to date,41.4,84.7,Heat Stress
Cow,4,No,No,No,Not Vaccinated,37.7,58.1,Healthy
Buffalo,5,No,No,No,Not Vaccinated,38.0,43.4,Healthy
Cow,6,No,No,No,Not Vaccinated,37.9,37.5,Healthy
Buffalo,9,Yes,No,Yes,Not Vaccinated,40.7,83.3,Heat Stress
Cow,7,No,Yes,Yes,Not Vaccinated,39.8,56.0,Mastitis
Goat,7,No,No,No,Not Vaccinated,37.7,56.3,Healthy
Sheep,6,Yes,Yes,Yes,Not Vaccinated,39.3,35.6,Mastitis
Cow,13,Yes,No,No,Up to date,37.8,80.5,Respiratory Infection
Buffalo,8,No,No,No,Not Vaccinated,38.3,62.8,Healthy
Sheep,10,Yes,Yes,No,Up to date,39.9,38.5,Mastitis
Cow,2,Yes,No,Yes,Not Vaccinated,39.9,80.8,Respiratory Infection
Sheep,1,No,No,No,Not Vaccinated,38.3,57.7,Healthy
Cow,13,Yes,Yes,No,Not Vaccinated,37.8,88.1,Respiratory Infection
Goat,6,Yes,Yes,Yes,Up to date,39.7,63.6,Mastitis
Cow,13,No,Yes,Yes,Up to date,39.3,89.6,Mastitis
Cow,15,Yes,Yes,Yes,Not Vaccinated,41.4,63.8,Foot and Mouth
Goat,3,No,No,No,Up to date,37.6,59.1,Healthy
Goat,12,No,No,No,Not Vaccinated,37.7,38.2,Healthy
Cow,8,No,No,No,Not Vaccinated,38.3,37.3,Healthy
Goat,8,No,No,No,Not Vaccinated,38.1,61.6,Healthy
Goat,7,Yes,Yes,Yes,Not Vaccinated,41.0,81.9,Heat Stress
Buffalo,4,No,Yes,No,Up to date,39.7,64.3,Mastitis
Buffalo,10,Yes,Yes,No,Up to date,39.2,89.1,Respiratory Infection
Sheep,15,No,Yes,Yes,Up to date,39.0,65.0,Mastitis
Buffalo,15,Yes,Yes,No,Up to date,38.3,84.6,Respiratory Infection
Buffalo,6,No,No,No,Not Vaccinated,37.7,61.5,Healthy
Cow,7,No,No,No,Not Vaccinated,37.9,88.5,Healthy
Goat,5,No,No,No,Up to date,38.2,42.8,Healthy
Cow,5,Yes,Yes,Yes,Not Vaccinated,39.8,40.5,Mastitis
Cow,4,No,No,No,Up to date,37.9,43.3,Healthy
Goat,15,No,Yes,No,Not Vaccinated,41.0,82.6,Heat Stress
Goat,11,Yes,Yes,No,Not Vaccinated,39.2,60.8,Mastitis
Cow,5,No,No,No,Not Vaccinated,37.7,56.1,Healthy
Sheep,4,No,No,No,Not Vaccinated,38.3,39.4,Healthy
Cow,9,No,No,No,Up to date,38.3,40.2,Healthy
Buffalo,11,No,Yes,No,Up to date,39.3,80.3,Mastitis
Goat,10,No,No,No,Not Vaccinated,37.8,56.7,Healthy
Cow,6,No,No,No,Up to date,37.6,80.1,Healthy
Goat,12,No,No,No,Up to date,37.5,82.6,Healthy
Sheep,12,No,No,No,Not Vaccinated,38.3,38.3,Healthy
Goat,8,No,Yes,Yes,Not Vaccinated,39.8,80.0,Mastitis
Sheep,8,Yes,Yes,Yes,Up to date,39.1,43.0,Mastitis
Sheep,3,Yes,Yes,No,Up to date,39.9,85.1,Respiratory Infection
Cow,13,No,No,No,Not Vaccinated,38.1,38.9,Healthy
Buffalo,11,No,No,No,Up to date,38.0,55.3,Healthy
Buffalo,6,Yes,No,Yes,Up to date,37.7,85.9,Respiratory Infection
Buffalo,4,No,No,No,Not Vaccinated,38.4,43.3,Healthy
Goat,4,No,No,No,Not Vaccinated,38.5,59.5,Healthy
Sheep,6,Yes,Yes,No,Up to date,39.8,59.9,Mastitis
Goat,13,No,No,No,Up to date,37.5,36.3,Healthy
Goat,6,Yes,Yes,No,Up to date,40.8,89.1,Heat Stress
Cow,4,No,No,No,Not Vaccinated,38.5,62.7,Healthy
Goat,2,No,No,No,Up to date,37.9,63.9,Healthy
Sheep,1,No,No,No,Not Vaccinated,38.2,41.9,Healthy
Cow,11,No,No,No,Up to date,38.1,40.2,Healthy
Sheep,4,No,No,No,Not Vaccinated,37.9,60.6,Healthy
Sheep,13,No,No,No,Not Vaccinated,37.8,58.9,Healthy
Goat,5,No,No,No,Not Vaccinated,37.6,36.8,Healthy
Buffalo,6,No,No,No,Not Vaccinated,37.7,64.6,Healthy
Sheep,3,No,Yes,Yes,Up to date,39.4,64.0,Mastitis
Buffalo,13,No,No,No,Not Vaccinated,37.7,63.0,Healthy
Buffalo,10,No,No,No,Up to date,38.4,61.6,Healthy
Buffalo,1,No,No,No,Up to date,38.1,36.6,Healthy
Sheep,6,No,No,No,Not Vaccinated,38.2,38.5,Healthy
Cow,9,No,No,No,Up to date,37.8,83.7,Healthy
Buffalo,6,Yes,Yes,Yes,Not Vaccinated,39.3,41.9,Mastitis
Sheep,10,No,No,No,Up to date,38.2,60.0,Healthy
Buffalo,7,No,Yes,Yes,Not Vaccinated,41.1,85.9,Heat Stress
Goat,12,No,No,No,Not Vaccinated,38.4,59.6,Healthy
Goat,10,No,No,No,Not Vaccinated,38.5,87.7,Healthy
Cow,13,No,No,No,Up to date,38.2,80.5,Healthy
Sheep,12,No,No,No,Not Vaccinated,38.1,64.2,Healthy
Cow,15,No,No,No,Not Vaccinated,37.5,58.9,Healthy
Buffalo,1,No,No,No,Not Vaccinated,38.3,58.0,Healthy
Sheep,1,No,No,No,Not Vaccinated,37.6,42.5,Healthy
Buffalo,12,No,No,No,Not Vaccinated,37.9,37.0,Healthy
Goat,15,No,No,No,Not Vaccinated,38.0,38.6,Healthy
Buffalo,8,No,No,No,Up to date,38.0,38.4,Healthy
Cow,6,No,Yes,Yes,Not Vaccinated,39.2,89.3,Mastitis
Buffalo,12,No,No,No,Not Vaccinated,38.0,40.9,Healthy
Sheep,12,No,Yes,Yes,Up to date,41.3,88.2,Heat Stress
Goat,7,No,No,No,Not Vaccinated,38.4,40.7,Healthy
Sheep,10,Yes,No,No,Up to date,41.3,84.5,Heat Stress
Buffalo,6,No,No,No,Not Vaccinated,37.9,41.7,Healthy
Sheep,12,No,No,No,Not Vaccinated,37.8,39.3,Healthy
Buffalo,3,No,No,No,Up to date,38.0,55.4,Healthy
Sheep,14,No,No,No,Up to date,37.8,37.5,Healthy
Goat,6,No,No,No,Not Vaccinated,37.8,85.9,Healthy
Buffalo,10,No,No,No,Up to date,38.5,55.1,Healthy
Goat,10,Yes,Yes,No,Up to date,39.7,61.3,Mastitis
Buffalo,15,Yes,Yes,No,Up to date,38.0,88.7,Respiratory Infection
Buffalo,10,No,No,No,Not Vaccinated,38.0,60.8,Healthy
Cow,8,No,No,No,Up to date,38.4,35.0,Healthy
Goat,8,No,Yes,Yes,Up to date,39.8,41.8,Mastitis
Cow,1,Yes,Yes,Yes,Not Vaccinated,41.1,82.7,Heat Stress
Goat,14,Yes,No,No,Up to date,41.4,84.3,Heat Stress
Sheep,8,Yes,No,No,Not Vaccinated,41.5,82.9,Heat Stress
Sheep,11,Yes,Yes,Yes,Not Vaccinated,40.9,60.6,Foot and Mouth
Goat,15,No,No,No,Not Vaccinated,37.6,58.9,Healthy
Buffalo,14,No,No,No,Not Vaccinated,38.0,43.4,Healthy
Sheep,11,No,No,No,Up to date,37.6,89.9,Healthy
Buffalo,9,No,No,No,Not Vaccinated,38.3,38.1,Healthy
Goat,10,No,No,No,Up to date,38.4,35.3,Healthy
Buffalo,10,No,Yes,Yes,Up to date,39.7,62.5,Mastitis
Cow,1,Yes,Yes,Yes,Not Vaccinated,40.9,37.3,Foot and Mouth
Sheep,1,No,No,No,Not Vaccinated,37.6,63.6,Healthy
Cow,9,No,No,No,Not Vaccinated,38.1,41.7,Healthy
Sheep,11,No,No,No,Not Vaccinated,38.1,38.7,Healthy
Buffalo,2,No,No,No,Not Vaccinated,38.3,37.6,Healthy
Sheep,6,No,No,No,Up to date,38.2,59.8,Healthy
Sheep,10,No,No,No,Up to date,37.7,81.0,Healthy
Cow,1,No,No,No,Up to date,38.1,38.7,Healthy
Goat,5,No,No,No,Up to date,38.4,63.2,Healthy
Goat,14,No,No,No,Up to date,37.7,82.1,Healthy
Goat,8,Yes,Yes,Yes,Up to date,40.9,40.4,Foot and Mouth
Buffalo,2,No,Yes,Yes,Up to date,39.2,58.6,Mastitis
Goat,6,No,No,No,Not Vaccinated,38.1,64.3,Healthy
Goat,6,Yes,Yes,No,Up to date,39.3,61.5,Mastitis
Goat,15,Yes,Yes,No,Up to date,39.1,81.0,Respiratory Infection
Cow,13,No,No,No,Up to date,37.9,63.7,Healthy
Buffalo,14,No,No,No,Not Vaccinated,37.7,36.9,Healthy
Buffalo,5,Yes,Yes,Yes,Up to date,40.8,39.2,Foot and Mouth
Goat,6,No,No,No,Up to date,38.1,63.3,Healthy
Goat,3,No,No,No,Up to date,38.2,39.7,Healthy
Cow,9,No,No,No,Up to date,38.5,44.6,Healthy
Buffalo,15,No,No,No,Up to date,37.8,87.8,Healthy
Sheep,7,No,No,No,Up to date,37.6,37.8,Healthy
Cow,2,No,No,No,Not Vaccinated,37.5,83.0,Healthy
Sheep,6,Yes,Yes,No,Not Vaccinated,39.5,43.4,Mastitis
Goat,8,Yes,No,Yes,Up to date,37.5,82.3,Respiratory Infection
Sheep,13,No,No,No,Up to date,37.6,36.4,Healthy
Goat,14,No,No,No,Up to date,37.9,36.9,Healthy
Buffalo,12,Yes,No,No,Up to date,39.5,83.1,Respiratory Infection
Buffalo,11,No,Yes,No,Not Vaccinated,39.9,84.8,Mastitis
Goat,6,No,No,No,Up to date,38.5,38.3,Healthy
Cow,3,No,No,No,Not Vaccinated,38.2,39.9,Healthy
Cow,8,Yes,Yes,No,Not Vaccinated,41.5,80.7,Heat Stress
Sheep,7,No,No,No,Up to date,38.2,55.8,Healthy
Sheep,4,No,No,No,Not Vaccinated,38.4,37.4,Healthy
Buffalo,15,No,Yes,No,Not Vaccinated,40.9,89.2,Heat Stress
Goat,5,No,No,No,Not Vaccinated,38.3,62.9,Healthy
Goat,12,Yes,No,No,Up to date,38.5,85.9,Respiratory Infection
Cow,13,No,No,No,Up to date,37.8,43.2,Healthy
Cow,11,No,No,No,Not Vaccinated,37.9,37.2,Healthy
Cow,8,Yes,Yes,No,Up to date,39.7,82.4,Respiratory Infection
Cow,4,No,No,No,Not Vaccinated,38.1,87.9,Healthy
Sheep,15,No,Yes,No,Not Vaccinated,39.9,83.0,Mastitis
Sheep,10,No,No,No,Up to date,38.2,55.1,Healthy
Sheep,12,No,No,No,Up to date,38.4,35.3,Healthy
Buffalo,13,No,No,No,Not Vaccinated,37.7,80.5,Healthy
Goat,3,No,No,No,Not Vaccinated,38.0,56.3,Healthy
Cow,15,No,Yes,Yes,Up to date,39.9,56.2,Mastitis
Goat,2,No,No,No,Up to date,38.4,61.4,Healthy
Goat,11,Yes,No,Yes,Up to date,37.9,86.8,Respiratory Infection
Buffalo,15,No,No,No,Up to date,38.4,55.0,Healthy
Buffalo,15,No,No,No,Up to date,38.0,64.8,Healthy
Sheep,4,No,No,No,Up to date,37.6,56.8,Healthy
Sheep,15,No,No,No,Up to date,38.2,37.4,Healthy
Buffalo,13,No,No,No,Up to date,37.7,89.4,Healthy
Sheep,13,Yes,Yes,No,Up to date,41.2,84.8,Heat Stress
Buffalo,4,No,No,No,Not Vaccinated,40.9,83.8,Heat Stress
Sheep,2,No,No,No,Up to date,38.4,35.8,Healthy
Goat,10,No,No,No,Not Vaccinated,37.6,83.7,Healthy
Buffalo,10,No,Yes,Yes,Not Vaccinated,39.4,85.4,Mastitis
Cow,10,No,Yes,Yes,Not Vaccinated,39.6,38.1,Mastitis
Sheep,8,No,Yes,Yes,Not Vaccinated,41.1,80.4,Heat Stress
Sheep,8,No,No,No,Not Vaccinated,38.0,40.1,Healthy
Cow,3,No,Yes,No,Not Vaccinated,39.4,80.4,Mastitis
Cow,2,No,No,No,Up to date,37.6,39.7,Healthy
Buffalo,9,No,No,No,Not Vaccinated,38.0,61.2,Healthy
Sheep,13,No,No,No,Up to date,38.1,84.6,Healthy
Goat,13,No,No,No,Up to date,38.1,62.7,Healthy
Goat,7,No,No,No,Up to date,37.8,63.7,Healthy
Cow,9,Yes,No,Yes,Up to date,40.6,37.5,Foot and Mouth
Cow,9,Yes,No,Yes,Up to date,39.5,87.4,Respiratory Infection
Cow,15,No,No,No,Up to date,37.6,40.4,Healthy
Cow,12,No,No,No,Up to date,38.5,58.2,Healthy
Cow,7,No,No,No,Up to date,37.7,85.3,Healthy
Goat,9,No,No,No,Not Vaccinated,40.7,81.2,Heat Stress
Buffalo,8,Yes,Yes,Yes,Up to date,41.1,86.8,Heat Stress
Goat,1,Yes,No,No,Not Vaccinated,39.4,89.5,Respiratory Infection
Cow,14,Yes,No,No,Not Vaccinated,39.9,80.2,Respiratory Infection
Sheep,4,No,Yes,Yes,Not Vaccinated,39.8,55.6,Mastitis
Cow,1,No,No,No,Not Vaccinated,37.6,35.7,Healthy
Buffalo,12,No,No,No,Up to date,37.6,35.0,Healthy
Cow,8,No,No,No,Not Vaccinated,37.7,60.6,Healthy
Sheep,15,Yes,Yes,Yes,Up to date,40.9,38.6,Foot and Mouth
Sheep,2,Yes,Yes,No,Not Vaccinated,40.8,89.5,Heat Stress
Buffalo,5,No,Yes,Yes,Not Vaccinated,39.1,36.0,Mastitis
Cow,5,Yes,No,Yes,Not Vaccinated,41.5,84.6,Heat Stress
Goat,6,No,No,No,Not Vaccinated,37.6,64.2,Healthy
Cow,9,No,No,No,Up to date,37.6,88.2,Healthy
Buffalo,7,Yes,Yes,Yes,Up to date,37.6,80.3,Respiratory Infection
Goat,7,Yes,Yes,Yes,Not Vaccinated,39.1,61.6,Mastitis
Sheep,5,No,Yes,No,Not Vaccinated,41.1,85.3,Heat Stress
Sheep,15,No,No,No,Not Vaccinated,38.1,84.7,Healthy
Buffalo,15,No,No,No,Not Vaccinated,38.0,60.1,Healthy
Sheep,9,No,No,No,Up to date,38.5,36.0,Healthy
Sheep,11,No,No,No,Not Vaccinated,37.8,39.3,Healthy
Goat,12,No,Yes,No,Up to date,40.6,80.8,Heat Stress
Sheep,13,No,Yes,Yes,Not Vaccinated,39.2,39.4,Mastitis
Buffalo,2,No,No,No,Not Vaccinated,37.9,62.9,Healthy
Cow,10,Yes,No,No,Up to date,39.4,84.9,Respiratory Infection
Goat,15,Yes,No,Yes,Not Vaccinated,39.1,84.5,Respiratory Infection
Cow,5,Yes,Yes,Yes,Not Vaccinated,40.0,56.9,Mastitis
Cow,1,No,Yes,Yes,Not Vaccinated,40.6,86.8,Heat Stress
Cow,2,Yes,No,No,Up to date,39.4,87.3,Respiratory Infection
Cow,10,No,No,No,Not Vaccinated,37.7,55.3,Healthy
Buffalo,12,Yes,Yes,Yes,Not Vaccinated,39.6,55.1,Mastitis
Goat,2,No,No,No,Not Vaccinated,38.4,36.4,Healthy
Cow,7,Yes,Yes,Yes,Not Vaccinated,40.5,44.8,Foot and Mouth
Buffalo,15,Yes,Yes,Yes,Up to date,40.8,36.3,Foot and Mouth
Goat,14,No,Yes,Yes,Not Vaccinated,39.8,63.1,Mastitis
Buffalo,2,No,Yes,No,Up to date,39.5,87.3,Mastitis
Buffalo,14,Yes,No,Yes,Not Vaccinated,40.7,58.2,Foot and Mouth
Buffalo,2,No,No,No,Not Vaccinated,38.0,83.2,Healthy
Buffalo,13,No,No,No,Not Vaccinated,38.0,41.0,Healthy
Goat,13,No,No,No,Not Vaccinated,37.7,64.1,Healthy
Cow,5,Yes,No,Yes,Not Vaccinated,39.5,86.8,Respiratory Infection
Sheep,4,No,No,No,Up to date,37.9,42.0,Healthy
Sheep,2,No,No,No,Not Vaccinated,38.2,87.7,Healthy
Sheep,13,No,No,No,Not Vaccinated,37.9,84.1,Healthy
Sheep,3,No,No,No,Up to date,38.1,83.8,Healthy
Goat,6,No,No,No,Not Vaccinated,37.6,63.1,Healthy
Cow,14,No,No,No,Not Vaccinated,38.0,42.5,Healthy
Sheep,5,Yes,Yes,Yes,Not Vaccinated,39.1,35.0,Mastitis
Buffalo,2,Yes,Yes,No,Not Vaccinated,39.3,59.3,Mastitis
Buffalo,4,No,No,No,Up to date,37.6,40.3,Healthy
Sheep,2,No,Yes,Yes,Not Vaccinated,39.5,83.7,Mastitis
Cow,5,No,No,No,Not Vaccinated,37.8,38.2,Healthy
Goat,10,No,No,No,Not Vaccinated,37.5,42.3,Healthy
Goat,8,No,No,No,Up to date,38.3,42.2,Healthy
Buffalo,1,No,No,No,Not Vaccinated,37.5,42.7,Healthy
Goat,11,No,No,No,Not Vaccinated,38.2,35.2,Healthy
Goat,13,No,No,No,Not Vaccinated,38.3,39.4,Healthy
Sheep,14,Yes,No,Yes,Not Vaccinated,41.2,40.7,Foot and Mouth
Goat,14,No,No,No,Not Vaccinated,38.4,43.4,Healthy
Buffalo,15,No,No,No,Up to date,38.3,36.2,Healthy
Buffalo,9,No,Yes,Yes,Not Vaccinated,40.0,88.6,Mastitis
Buffalo,5,Yes,No,Yes,Not Vaccinated,39.1,83.0,Respiratory Infection
Sheep,11,No,No,No,Not Vaccinated,38.1,43.5,Healthy
Sheep,6,No,No,No,Not Vaccinated,37.6,39.0,Healthy
Goat,7,Yes,No,Yes,Not Vaccinated,41.0,55.8,Foot and Mouth
Sheep,9,No,No,No,Not Vaccinated,38.5,62.8,Healthy
Goat,9,No,No,No,Not Vaccinated,38.4,82.6,Healthy
Sheep,9,No,No,No,Up to date,38.0,63.5,Healthy
Goat,6,No,No,No,Not Vaccinated,38.3,41.8,Healthy
Cow,8,No,No,No,Not Vaccinated,38.0,59.3,Healthy
Goat,14,No,No,No,Up to date,37.8,36.2,Healthy
Sheep,14,Yes,No,No,Not Vaccinated,37.9,88.4,Respiratory Infection
Sheep,3,Yes,Yes,Yes,Up to date,40.8,39.0,Foot and Mouth
Cow,6,No,Yes,No,Up to date,39.9,42.7,Mastitis
Goat,4,No,No,No,Not Vaccinated,37.9,61.1,Healthy
Cow,1,Yes,Yes,No,Not Vaccinated,41.1,83.0,Heat Stress
Sheep,6,No,No,No,Up to date,38.2,63.6,Healthy
Goat,15,No,No,No,Not Vaccinated,37.6,60.4,Healthy
Goat,7,No,No,No,Not Vaccinated,38.2,41.0,Healthy
Goat,7,No,No,No,Up to date,37.8,59.1,Healthy
Cow,8,No,No,No,Not Vaccinated,37.6,61.8,Healthy
Buffalo,13,Yes,Yes,No,Not Vaccinated,39.4,82.2,Respiratory Infection
Goat,8,No,No,No,Not Vaccinated,37.6,59.8,Healthy
Goat,15,Yes,No,Yes,Not Vaccinated,37.9,83.5,Respiratory Infection
Goat,9,No,No,Yes,Up to date,41.1,83.8,Heat Stress
Buffalo,8,Yes,No,Yes,Not Vaccinated,41.4,43.6,Foot and Mouth
Cow,1,No,No,No,Not Vaccinated,37.6,64.2,Healthy
Goat,3,Yes,No,No,Not Vaccinated,38.0,88.7,Respiratory Infection
Sheep,7,Yes,Yes,No,Up to date,37.8,87.6,Respiratory Infection
Goat,12,Yes,Yes,Yes,Not Vaccinated,40.6,85.4,Heat Stress
Buffalo,10,No,No,No,Not Vaccinated,38.1,58.2,Healthy
Cow,3,No,No,No,Up to date,37.5,40.5,Healthy
Buffalo,11,No,No,No,Not Vaccinated,38.5,44.1,Healthy
Sheep,14,No,No,No,Not Vaccinated,37.8,44.2,Healthy
Cow,7,No,No,No,Up to date,37.9,38.2,Healthy
Sheep,15,No,No,No,Not Vaccinated,37.7,44.7,Healthy
Buffalo,4,No,Yes,No,Not Vaccinated,39.1,36.5,Mastitis
Cow,7,No,No,No,Up to date,37.8,55.9,Healthy
Buffalo,13,No,No,No,Up to date,37.7,55.6,Healthy
Buffalo,15,No,No,No,Not Vaccinated,37.7,87.1,Healthy
Buffalo,11,No,Yes,Yes,Not Vaccinated,39.6,38.0,Mastitis
Sheep,6,No,No,No,Up to date,38.2,43.8,Healthy
Buffalo,13,No,No,No,Up to date,38.5,39.9,Healthy
Goat,12,Yes,Yes,Yes,Not Vaccinated,39.7,57.4,Mastitis
Cow,9,Yes,Yes,Yes,Not Vaccinated,39.7,84.8,Respiratory Infection
Cow,1,No,No,No,Not Vaccinated,38.0,88.9,Healthy
Goat,7,No,No,No,Not Vaccinated,38.0,83.8,Healthy
Goat,12,No,No,No,Not Vaccinated,38.5,44.7,Healthy
Cow,5,No,No,No,Not Vaccinated,37.7,86.2,Healthy
Buffalo,14,No,No,No,Up to date,38.3,62.8,Healthy
Cow,8,No,No,No,Not Vaccinated,38.2,43.4,Healthy
Cow,4,No,Yes,Yes,Up to date,40.0,63.1,Mastitis
Sheep,2,No,No,No,Not Vaccinated,38.4,83.9,Healthy
Cow,13,No,No,No,Not Vaccinated,37.7,42.5,Healthy
Cow,4,No,No,No,Not Vaccinated,37.8,58.7,Healthy
Goat,15,No,No,No,Up to date,38.4,41.0,Healthy
Goat,4,No,No,No,Up to date,38.2,36.2,Healthy
Buffalo,14,No,No,No,Up to date,37.9,38.3,Healthy
Sheep,5,No,No,No,Not Vaccinated,38.1,59.8,Healthy
Sheep,1,Yes,Yes,No,Not Vaccinated,37.6,88.8,Respiratory Infection
Goat,7,Yes,Yes,No,Not Vaccinated,41.2,80.8,Heat Stress
Goat,12,No,Yes,No,Up to date,40.5,87.7,Heat Stress
Sheep,2,Yes,Yes,Yes,Up to date,39.0,84.7,Respiratory Infection
Sheep,8,No,No,No,Not Vaccinated,38.2,62.8,Healthy
Sheep,2,No,No,No,Up to date,37.6,60.0,Healthy
Goat,10,Yes,No,No,Up to date,39.1,83.6,Respiratory Infection
Cow,4,No,No,No,Not Vaccinated,38.2,88.0,Healthy
Buffalo,2,No,No,No,Up to date,38.2,37.6,Healthy
Goat,13,No,No,No,Not Vaccinated,37.6,84.2,Healthy
Cow,1,Yes,Yes,No,Not Vaccinated,37.9,88.7,Respiratory Infection
Buffalo,8,No,No,No,Not Vaccinated,37.9,61.1,Healthy
Goat,6,No,No,No,Up to date,37.6,81.5,Healthy
Goat,14,Yes,Yes,Yes,Up to date,40.0,81.2,Respiratory Infection
Sheep,8,No,No,No,Not Vaccinated,37.9,39.5,Healthy
Goat,4,No,No,No,Up to date,37.8,56.6,Healthy
Goat,7,No,No,No,Up to date,38.1,60.2,Healthy
Buffalo,6,No,No,No,Up to date,37.6,44.0,Healthy
Sheep,7,Yes,Yes,Yes,Not Vaccinated,37.7,86.0,Respiratory Infection
